,comment_index,comments,keys
0,20,"Thank you all so much! Im going to program the microcontrollers today for the final stretch goal. Ill take a picture of all of the component kits either tonight or tomorrow morning, and post them in the first postkickstarter update! The next two weeks are going to be busy, but I am going to work extremely hard to properly quality check each board, and send all rewards out promptly. Eight hours to go. ",422207
1,0,"Also, have you considered contributing to the official Wikimedia foundations Wikipedia app httpgithub.comwikimediawikipediaiphone httpwikitech.wikimedia.orgviewMobileiPhone",727286
2,0,So how is the production and development coming Would be nice to see some updates to see how the PCB manufacturing is going and other parts of the project.,1450156
3,173,I havent got anything either,2223811
4,14,Gaat als n malle! Ik doe nog ff wat reclame maken.,3482242
5,51,"In my previous comment, I think I found the answer to be yesthe Repetier Host imports an AMF. Thanks!",5649635
6,24,"Users will see two access points. I live in a wifi rich neighborhood and accidentally had the same name as someone else. I dont think too much damage can be done unless they want to maninthemiddle between you and a library box, its not like all the materials are free online anyways.",5925947
7,1,"I finally got around to assembling my BoostMiniUSB, went together smoothly, and works well. I was able to run an Arduino and LOL shield off of it without problem off of slightly dead AA batteries 2.5v combined. Thanks for putting this Kickstarter together!",6072911
8,7,Is it possible to get both a snowflake and valentines day card if i pledge more,6734760
9,21,could the motor be replaced with a 220v version could you please post motor specs,6843207
10,672,Great project. Do you think you could make a remix style keyboard  case for the Nexus 10 It has a similar magnetic charger on the bottom and your ROM is due to support the N10 anyway so it might make a good DIY solution for existing Nexus 10 owners.,9218382
11,2,many thanks for your kind words and support Mark! I know  like me you travel a lot .. so totally understand! look fwd to meeting you one of these days after all these years! rgds ajit,12498573
12,57,"It seems my Edison wont move forward to scan the barcodes. Heres what I do  switch on  red LEDs are blinking  press round record button three times  after press one, both LEDs are on  after press two, both LEDs are off  after press three, both LEDs blink again, Edison makes a twotone sound and moves forward about a milimetre with only the left wheel, thats it. This happens regardless how fast or slow I press the record button three times. Do you have any suggestion what I may be doing wrong here",13577217
13,94,Great idea for our pooch! Did you guys mention if the GPS service required a monthly fee or is it free for Kickstarters,14159453
14,25,"Hi Chris, With the 370395 pledge it is a ChronoController, the Lens Apparatus, an adjustable gear belt which goes around the lens and mates to the Apparatus. It also includes a battery pack 8xaa, a shirt, and sticker. The only thing you need is a 15mm dslr rod system. Generally they can be found as low as 3540 dollars for an inexpensive one. Ill get some shots of the various kits this weekend. ",14535248
15,4,"Hi Roy, you have a mp again. Nothing received yet! No doubt this project is cool but I would appreciate even better to receive it!",14858372
16,64,"I am with Stefan even if you do not make it to the 25K I would love for you to do the weekend workshop on how to build the Farm of the Future instead of the rap video. Thank you, Clarke",15122854
17,13,Hi Mattias. Sorry to hear that! We will check up on it first thing Monday and make sure you get your wind meter. Thanks a lot for your patience!!,16600563
18,3,Woo hoo! Congrats folks! Looking forward to my kit. ,16847777
19,6,"Actually, I like MixAR ... why did we skip that one anyway",19570975
20,9,Cannot wait for this conferenceevent. What a wonderful line up!,20764220
21,41,I would like to cancel my pledge due to nonsupport of iPhone 6 plus.,21236219
22,48,Hi! 1 Can the Easy Air plug shield be a RF emitter for example to transmit information through RF to another gadget 2 Can the Easy Air plug shield receive RF information from other soucers apart from your transmitters 3 Will you create tutorials to teach people how to take advantage of the create sensor Thanks in advance.,22580431
23,516,"Bert well this would need to be done in the software. The FPGA is streaming the raw data ADC to the SW, which converts it to voltages. Any kind of math operation to spawn additional waveforms is also done in SW. Or just yell loud enough and then well do it eventually  Since we already have our basic math functions add, subtract, I guess this wouldnt be too much of additional effort.",22930761
24,116,"Hey Jean, Thanks ! And let us assure You that the units our backers will receive will be nothing like a work in progress. Right this moment we are working on our quality control protocols and this will make sure Rubbee will be ready for many years of use on the roads. And as for developing future versions  there is no limit for perfection, we are always trying to improve it  Valhakar, Its great to see people are finding new uses for Rubbee ! Suggestions noted. Thanks !",23073872
25,26,"Justin It will we be shipped in a few hours from CA, we really apologize for the delay!",23248239
26,22,Yay!,23449435
