HITID,index,comment_index,comments,keys,Worker1,Answer1,Worker2,Answer2,Worker3,Answer3,Worker4,Answer4,Worker5,Answer5,Avg,Date
3FTID4TN8LY766X2LA3ZS73TVV4YLR,448,100,This project had been so heartfelt and exciting...Norm has shown me what the word commitment involves because he created this amazing product...Lots of blessings for this wonderful aero tray created by Norm..,468214073,A16U1L4R6WV5G2,2,A1T79J0XQXDDGC,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,2,AXMPSUNKUBEIL,2,2,2015-06-15 07:38:11 UTC
3ZVPAMTJWN3IND7FWOEP7J5OWR2RGB,807,97,"Im so friggin thrilled I cant stand it! Thomas, Ive contributed to over 20 campaigns here and, by far, this has been the best managed, the best thought out and the best delivered to date. I got my lens yesterday and am just having a BLAST with it. Dude, best of luck with whatever else you have cooked up. The 150x lens, a new energy source, a trip to Mars... You have what it takes to make anything happen that you set your sights on. Kudos dude  Youre The One Neo",873229808,A16U1L4R6WV5G2,2,A1T79J0XQXDDGC,2,A1V6P1ZE6Q8YEW,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,1,1.8,2015-06-15 08:16:54 UTC
3MDKGGG61QNT6ZV1O0AYV7THQYXT6P,494,7,Congratulations on the funding !!! im super excited!!,520449582,A16U1L4R6WV5G2,2,A1V6P1ZE6Q8YEW,1,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,2,AXMPSUNKUBEIL,2,1.8,2015-06-15 08:19:02 UTC
35NNO802AVWB46LIT5XBJBDUA76IN7,732,0,You all rock! Every single one of you! Thank you!,809008786,A1T79J0XQXDDGC,2,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,AXMPSUNKUBEIL,2,1.8,2015-06-15 07:59:59 UTC
3IKDQS3DQE0SD2OR4FOX30JIB3SICP,433,2,yeaaaaah !!!! Congrat ! you guys rock !,450268797,A16U1L4R6WV5G2,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,1,AXMPSUNKUBEIL,2,1.8,2015-06-15 07:46:02 UTC
3DIIW4IV8PVPIYBCB0IFK27UJQBI4C,149,57,"Got my board today, it is AMAZING! It feels so solid and looks very clean. Really awesome job, way beyond what I had hoped for.",158839303,A1T79J0XQXDDGC,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,1,AXMPSUNKUBEIL,2,1.8,2015-06-15 07:48:03 UTC
3MGHRFQY2LPU9A8GWHHGUNB5SXU0YL,947,7,Congrats on making the goal! Really excited to follow you guys! Good luck!,1023720141,A18JA2145UWXG,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,2,AQR70X1KIOP6B,1,1.8,2015-06-15 07:51:59 UTC
3PUOXASB573CAU6YSZ2S15L01VR9ZW,865,11,"As a backer of Alans previous book projects, I was overjoyed to see that he now wants to cover Bootstrap. Here, take my money!",924687885,A1V6P1ZE6Q8YEW,2,A291KO368YRYCR,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,AXMPSUNKUBEIL,2,1.6,2015-06-15 08:26:53 UTC
3CMIQF80GNQGEJ397WG3Q2IU6RYQ68,927,7,Love the mascot Jerry!,1002692211,A1T79J0XQXDDGC,1,A1ZFUBB7KVAT4G,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,1,1.6,2015-06-15 08:10:49 UTC
3D42WVSDH8VL6EN6ZZ01XUY9YZIFY3,635,249,Neil  Were stoked!  The more the merrier!,686382524,A1V6P1ZE6Q8YEW,1,A2RD843ESYKRP2,2,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,1.6,2015-06-15 08:13:02 UTC
35XW21VSVGEAAKLTM4BAALFSEA8SL7,100,5,"Hi Chris, I have received my lilbot and have been playing around with it quite a bit. I love the little bot! Thanks!",99286835,A1ZFUBB7KVAT4G,2,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,ARX0S1CIDJLOX,2,AXMPSUNKUBEIL,1,1.6,2015-06-15 07:41:56 UTC
3MZ3TAMYTLNWJ4DAMCESSVI4B4VIRV,566,35,Absolutely insane. You people are the best people.,599992665,A1T79J0XQXDDGC,1,A2RD843ESYKRP2,2,A3Q92WMGIHEPSD,1,A9K0CV70JWG1W,2,AKJ8CNFZH73K6,2,1.6,2015-06-15 07:59:09 UTC
307L9TDWJYSWE33Z82QOF5B5RP9N3C,835,165,"Thanks so much guys! Seriously I couldnt have done this without you. To me, Kickstarter is much more than a vehicle to fund my project. Its an opportunity for me to learn and to share my passion with those who care. Its been so wonderful hearing from you this past month. I cant wait for you all to receive your Hooke and begin capturing the world in a way its never been heard! Lets have a stellar next 10 days. And get ready for a BIG update on Tuesday. All the best, Anthony, founder.",895890710,A1V6P1ZE6Q8YEW,1,A1ZFUBB7KVAT4G,2,A2RD843ESYKRP2,1,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,2,1.6,2015-06-15 07:46:20 UTC
3KQC8JMJGCS447HO54VBALE95DZH3W,20,9,Cannot wait for this conferenceevent. What a wonderful line up!,20764220,A1ZFUBB7KVAT4G,2,A32QBXDPHHSTOD,2,A3HW4QDJB63OQ2,1,A3KOVCQYR8K3HY,2,A9K0CV70JWG1W,1,1.6,2015-06-15 08:16:40 UTC
35F6NGNVM8JCAZ967AFQ1LTDL9H7T2,639,47,"Its really amazing, hope you bring PocketLab to Brazil soon!",689581126,A18JA2145UWXG,2,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A2RD843ESYKRP2,2,AQR70X1KIOP6B,2,1.6,2015-06-15 08:20:47 UTC
39O6Z4JLX2XL26JMUIJ3W2UMKNCVX1,492,11,I hope this gets funded. Looks like great fun to me!,519218961,A1T79J0XQXDDGC,1,A2RD843ESYKRP2,2,A32QBXDPHHSTOD,2,A3CFNUD7VR2E1E,2,A9K0CV70JWG1W,1,1.6,2015-06-15 07:54:23 UTC
356ZPKYPUHHXXRC0D2W69OCD055PYG,59,27,The shipment finally arrived! Awesome!!!,57250110,A18JA2145UWXG,2,A1V6P1ZE6Q8YEW,1,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,2,AXMPSUNKUBEIL,2,1.6,2015-06-15 08:22:05 UTC
3Q7TKIAPOTA48V2BPEGLFMTSD7YLD6,518,6,"This is really brilliant. Fair play to everyone, including myself, for all your hard work in promoting this wonderful project ",546023604,A16U1L4R6WV5G2,2,A1T79J0XQXDDGC,2,A1V6P1ZE6Q8YEW,2,A3HW4QDJB63OQ2,1,A9K0CV70JWG1W,1,1.6,2015-06-15 07:31:26 UTC
3X52SWXE0X5AEX8WTWSC4RSQQEQWCA,209,9,Thank you!!! So awesome!,229872016,A1V6P1ZE6Q8YEW,1,A291KO368YRYCR,2,A3CFNUD7VR2E1E,2,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,1,1.6,2015-06-15 08:30:53 UTC
3TC2K6WK9G2MQEKCY0N0EYGIWGA28S,118,6,"I dont know how you do it but I love it, all the others are horrible about spilling, GREAT JOB",117019513,A16U1L4R6WV5G2,2,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,1.6,2015-06-15 07:48:01 UTC
3BJKPTD2QCCMSITLGODW62KDMLARTK,905,4,"Nancy, I absolutely love those !! Tactile, mesmerizing color... very, very satisfying. Visually stunning  they pixelate. !",972485841,A1PE0077HI218F,1,A1V6P1ZE6Q8YEW,2,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,1.6,2015-06-15 08:12:32 UTC
33J5JKFMK6YHH0GROUI5JZ6AW0X3QG,726,13,I got my CBT today Im in Canada and wow! What a beautiful device. This has been one of the best crowdfunding experiences Ive ever had. Well done from start to finish. Project updates and communication were as well done as the hardware. Thank you!,799553398,A1V6P1ZE6Q8YEW,1,A3HW4QDJB63OQ2,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,AXMPSUNKUBEIL,2,1.6,2015-06-15 08:06:16 UTC
3QD8LUVX4XY44C47OR1QS40N7ZA5X4,246,11,Congrats and super excited!,258989308,A1T79J0XQXDDGC,1,A1V6P1ZE6Q8YEW,1,A3UWM3KJYEL5XU,2,AKJ8CNFZH73K6,2,ANMWPCK7TJMZ8,2,1.6,2015-06-15 08:39:26 UTC
3TTPFEFXCTK31Q46O6T9HOQTF41H62,850,232,Sweet!!!!!! Great project! Bravo!!!!!,909580953,A1V6P1ZE6Q8YEW,1,A291KO368YRYCR,2,A32QBXDPHHSTOD,2,A9K0CV70JWG1W,1,AQR70X1KIOP6B,2,1.6,2015-06-15 08:09:45 UTC
